base,quiote,pair_name,min_price,base_precision,qty_step_size,price_tick_size,min_notional,min_qty
ETH,USDC,ETH/USDC,0.5,6,0,0.01,0.5,0.01
MANA,USD,MANA/USD,0.5,7,0,0.00001,0.5,8
SOL,USD,SOL/USD,0.5,5,0,0.01,0.5,0.25
USDC,EUR,USDC/EUR,0.45,8,0,0.0001,0.45,5
XBT,USDC,XBT/USDC,0.5,5,0,0.01,0.5,0.0001
USDC,USD,USDC/USD,0.5,8,0,0.0001,0.5,5
MANA,EUR,MANA/EUR,0.45,7,0,0.00001,0.45,8
ETH,USD,ETH/USD,0.5,5,0,0.01,0.5,0.01
XBT,EUR,XBT/EUR,0.45,5,0,0.1,0.45,0.0001
EUR,JPY,EUR/JPY,50,3,0,0.001,50,0.5
ETH,XBT,ETH/XBT,0.00002,6,0,0.00001,0.00002,0.01
MANA,XBT,MANA/XBT,0.00002,9,0,0.00000001,0.00002,8
MANA,ETH,MANA/ETH,0.0002,9,0,0.0000001,0.0002,8
USD,JPY,USD/JPY,50,3,0,0.001,50,5
XBT,USD,XBT/USD,0.5,5,0,0.1,0.5,0.0001
EUR,USD,EUR/USD,0.5,5,0,0.00001,0.5,0.5
SOL,EUR,SOL/EUR,0.45,5,0,0.01,0.45,0.25
SOL,XBT,SOL/XBT,0.00002,9,0,0.0000001,0.00002,0.25
XBT,JPY,XBT/JPY,50,3,1,1,50,0.0001
ETH,JPY,ETH/JPY,50,5,1,1,50,0.01
ETH,EUR,ETH/EUR,0.45,5,0,0.01,0.45,0.01
